"Story","Title","Result","Date","Stability","Duration (s)"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-12-10T04:51:46.519Z[Etc/UTC]","0.0","0.58"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-12-10T04:51:47.112Z[Etc/UTC]","0.0","1.18"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-12-10T04:51:48.293Z[Etc/UTC]","0.0","1.15"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-10T04:51:49.45Z[Etc/UTC]","0.0","0.57"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-10T04:51:50.022Z[Etc/UTC]","0.0","0.44"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-10T04:51:50.47Z[Etc/UTC]","0.0","0.63"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-12-10T04:51:51.109Z[Etc/UTC]","0.0","0.98"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-12-10T04:51:54.533Z[Etc/UTC]","0.0","1.39"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-12-10T04:51:55.934Z[Etc/UTC]","0.0","1.03"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-12-10T04:51:56.972Z[Etc/UTC]","0.0","1.18"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-10T04:51:58.155Z[Etc/UTC]","0.0","0.73"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-10T04:51:58.886Z[Etc/UTC]","0.0","0.57"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-10T04:51:59.467Z[Etc/UTC]","0.0","0.8"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-12-10T04:52:00.271Z[Etc/UTC]","0.0","1.1"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-12-10T04:52:06.378Z[Etc/UTC]","0.0","1.44"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-12-10T04:52:07.827Z[Etc/UTC]","0.0","1.56"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-12-10T04:52:09.392Z[Etc/UTC]","0.0","1.49"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-12-10T04:52:10.89Z[Etc/UTC]","0.0","0.88"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-12-10T04:52:11.771Z[Etc/UTC]","0.0","0.72"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-12-10T04:52:12.498Z[Etc/UTC]","0.0","0.99"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-12-10T04:52:13.495Z[Etc/UTC]","0.0","1.27"
